CATEGORIE,DATE,QUART,PDQ,X,Y,LAT,LONG
Introduction,20150112,jour,23,301142.044,5046097.404,45.5547793126,-73.5468521645
Introduction,20150112,jour,26,294107.857,5040344.549,45.5029405506,-73.6368223398
Introduction,20150112,nuit,27,292399.806,5044307.545,45.5385727748,-73.6587796616
Introduction,20150112,jour,30,0,0,1,1
Introduction,20150112,soir,31,295610.654,5045341.884,45.5479298641,-73.6176855219
Introduction,20150112,nuit,38,299128.607,5042150.08,45.5192463457,-73.5725951152
Introduction,20150112,nuit,38,299163.504,5042402.083,45.5215142515,-73.5721513241
Introduction,20150112,soir,38,299410.015,5041515.575,45.5135390467,-73.5689860549
Introduction,20150112,soir,38,297882.942,5042856.896,45.5255953052,-73.5885498687
Introduction,20150112,nuit,39,293925.945,5050320.936,45.5927085889,-73.6393718498
Introduction,20150112,jour,42,298253.938,5048683.5,45.578028672,-73.5838784608
Introduction,20150112,jour,42,294928.661,5049606.029,45.5862906178,-73.6265057042
Introduction,20150112,soir,44,299769.898,5045487.593,45.5492834615,-73.5644207305
Introduction,20150112,soir,44,298871.286,5045170.1,45.5464194783,-73.575925437
Introduction,20150112,soir,44,297836.808,5045757.888,45.551699025,-73.5891817169
Introduction,20150112,soir,44,298112.087,5045255.593,45.5471818985,-73.585649195
Introduction,20150112,soir,46,301043.226,5051008.499,45.5989703431,-73.5481556116
Introduction,20150112,jour,46,300866.156,5051344.5,45.6019927924,-73.5504280629
Introduction,20150113,soir,7,289990.508,5042610.802,45.5232578613,-73.6895783288
Introduction,20150113,jour,10,292348.016,5043304.547,45.5295465279,-73.659417308
Introduction,20150113,soir,15,299757.38,5037947.048,45.4814304928,-73.5645034834
Introduction,20150113,nuit,15,300316.993,5037415.83,45.4766541648,-73.5573402591
Introduction,20150113,soir,15,297765.378,5035987.149,45.463777175,-73.5899564087
Introduction,20150113,soir,16,299139.281,5034611.0,45.4514063899,-73.5723715669
Introduction,20150113,nuit,20,299420.778,5040810.504,45.5071946104,-73.5688405653
Introduction,20150113,jour,22,299806.745,5043116.247,45.5279454819,-73.5639246463
Introduction,20150113,soir,23,302538.001,5046539.448,45.5587629106,-73.5289743883
Introduction,20150113,nuit,23,301621.441,5045688.899,45.5511057953,-73.5407092558
Introduction,20150113,jour,23,300975.388,5045706.615,45.5512619618,-73.5489836873
Introduction,20150113,jour,23,301993.013,5045304.183,45.5476455809,-73.5359481579
Introduction,20150113,jour,27,293243.832,5048336.894,45.5748446379,-73.648067467
Introduction,20150113,soir,27,292291.492,5046280.536,45.5563244524,-73.6602170031
Introduction,20150113,soir,30,296834.423,5045972.375,45.5536183075,-73.6020233271
Introduction,20150113,nuit,38,298511.912,5041763.575,45.5157631305,-73.5804839851
Introduction,20150113,jour,38,298416.909,5042014.077,45.5180163843,-73.5817032307
Introduction,20150113,nuit,38,298505.728,5042556.15,45.522894978,-73.5805733152
Introduction,20150113,soir,38,298795.069,5041035.639,45.509215362,-73.5768508228
Introduction,20150113,soir,39,295456.938,5052454.0,45.6119246937,-73.6197901282
Introduction,20150113,soir,44,299363.724,5045250.858,45.5471501848,-73.5696199848
Introduction,20150113,soir,44,299210.186,5045244.603,45.5470926847,-73.5715862052
Introduction,20150113,jour,46,299400.25,5052904.0,45.6160157322,-73.5692368058
Introduction,20150113,jour,48,302700.998,5051778.242,45.6059036811,-73.5269090383
Introduction,20150113,jour,48,301659.605,5048899.349,45.5799946542,-73.540241093
Introduction,20150113,jour,48,301755.542,5049999.053,45.5898905457,-73.5390186091
Introduction,20150113,soir,48,302061.556,5050088.544,45.5906970839,-73.5350971524
Introduction,20150113,jour,48,301755.542,5049999.053,45.5898905457,-73.5390186091
Introduction,20150114,soir,8,290073.094,5033411.0,45.440475977,-73.6882452512
Introduction,20150114,soir,11,294265.918,5035831.966,45.4623367588,-73.6347029109
Introduction,20150114,soir,12,298492.954,5038792.162,45.4890249302,-73.5806884332
Introduction,20150114,nuit,20,299179.574,5039471.193,45.4951410173,-73.5719120259
Introduction,20150114,nuit,22,301048.191,5043286.097,45.5294816461,-73.5480327143
Introduction,20150114,jour,22,300761.214,5041677.081,45.5150014786,-73.5516934886
Introduction,20150114,jour,23,301244.997,5045014.664,45.5450369689,-73.5455256467
Introduction,20150114,soir,23,301284.018,5045102.453,45.545827124,-73.5450265716
Introduction,20150114,soir,23,301205.187,5045525.116,45.549629994,-73.546039206
Introduction,20150114,soir,23,302120.796,5046355.615,45.5571072379,-73.534317441
Introduction,20150114,jour,30,296801.455,5047547.561,45.5677919646,-73.602471344
Introduction,20150114,jour,31,294926.337,5045772.834,45.5517983315,-73.6264580635
Introduction,20150114,jour,33,295242.821,5042722.568,45.5243553726,-73.6223451299
Introduction,20150114,soir,35,296412.41,5043504.144,45.531403341,-73.6073861804
Introduction,20150114,soir,38,297821.714,5041875.574,45.5167643763,-73.5893197148
Introduction,20150114,jour,44,0,0,1,1
Introduction,20150114,soir,44,299183.886,5045182.603,45.5465345753,-73.5719223056
Introduction,20150114,jour,48,302268.226,5048767.106,45.5788071721,-73.5324415259
Introduction,20150115,soir,7,288305.158,5039888.193,45.498721016,-73.7110609959
Introduction,20150115,nuit,8,292557.92,5033637.581,45.4425627928,-73.6564889709
Introduction,20150115,soir,8,288136.375,5033681.0,45.4428620821,-73.7130101545
Introduction,20150115,soir,10,292223.008,5043782.802,45.5338477888,-73.661030005
Introduction,20150115,jour,11,293292.733,5035886.213,45.4628095455,-73.6471485909
Introduction,20150115,soir,13,295421.5,5033061.0,45.4374187059,-73.6198732931
Introduction,20150115,soir,15,298324.506,5037259.025,45.4752275249,-73.5828232336
Introduction,20150115,soir,26,294603.646,5041112.057,45.5098543188,-73.6304939337
Introduction,20150115,jour,26,294394.265,5039167.041,45.4923491766,-73.6331323497
Introduction,20150115,soir,26,294238.467,5040715.443,45.5062799938,-73.6351589757
